,actual,forecast_1,forecast_2,forecast_3,forecast_4,forecast_5,forecast_6,forecast_7
2016-03-11,5.730000019073486,5.9416447,5.922968,5.924525,5.9415493,5.960387,5.911071,5.9219084
2016-03-12,5.909999847412109,5.8236127,5.934595,5.9231043,5.9249625,5.944666,5.964647,5.9138975
2016-03-13,5.929999828338623,5.89539,5.8663354,5.934291,5.9232473,5.920884,5.9457955,5.9725823
2016-03-14,5.960000038146973,5.9041147,5.888564,5.8680634,5.9341583,5.9240828,5.9200196,5.9497766
2016-03-15,6.079999923706055,5.9265966,5.894546,5.888705,5.8696938,5.9353223,5.9244065,5.9186926
2016-03-16,5.860000133514404,6.0004334,5.912755,5.8940735,5.8887715,5.8520117,5.9363337,5.925756
2016-03-17,5.860000133514404,5.9017596,5.9636664,5.9120746,5.8940325,5.888162,5.8467445,5.938541
2016-03-18,5.940000057220459,5.8862247,5.9218616,5.9619775,5.911365,5.895088,5.8875246,5.837427
2016-03-19,5.949999809265137,5.933457,5.9015255,5.922338,5.960286,5.9143443,5.895417,5.8861547
2016-03-20,6.019999980926514,5.9453664,5.9276166,5.9023714,5.922657,5.977645,5.915421,5.8951607
2016-03-21,5.860000133514404,5.985014,5.9387345,5.927523,5.9028225,5.9203935,5.9815855,5.9176397
2016-03-22,5.849999904632568,5.9062834,5.9646645,5.9383955,5.9276266,5.8996572,5.919914,5.989968
2016-03-23,5.909999847412109,5.878634,5.925767,5.9637394,5.93822,5.9300585,5.898987,5.9165306
2016-03-24,5.809999942779541,5.9063015,5.89565,5.926382,5.962808,5.938049,5.9311624,5.898016
2016-03-25,6.010000228881836,5.8585734,5.906138,5.896562,5.9269013,5.970571,5.939022,5.93394
2016-03-26,6.090000152587891,5.9524884,5.8803077,5.9063015,5.897232,5.922303,5.9723053,5.9417763
2016-03-27,5.989999771118164,6.0097346,5.925314,5.8812203,5.906642,5.891221,5.920517,5.9778953
2016-03-28,6.130000114440918,5.9710402,5.9715624,5.924387,5.8822474,5.905182,5.8896065,5.9157643
2016-03-29,6.090000152587891,6.0529404,5.963843,5.9696803,5.923507,5.870243,5.9049344,5.885472
