record_date,volume,avg_price
10/18/2015,2276114935,5.82
10/19/2015,2104753691,5.87
10/20/2015,2389984309,5.9
10/21/2015,1799032728,5.93
10/22/2015,1614420303,5.95
10/23/2015,2459408914,5.88
10/24/2015,1541076405,5.89
10/25/2015,2693609405,5.8
10/26/2015,1963508615,5.8
10/27/2015,1645112883,5.83
10/28/2015,2577675717,5.72
10/29/2015,2283759108,5.79
10/30/2015,1773253796,5.74
10/31/2015,2257689101,5.8
11/1/2015,1953683012,5.8
11/2/2015,2914657338,5.8
11/3/2015,1674209190,5.95
11/4/2015,1986926968,5.78
11/5/2015,1783926804,5.83
11/6/2015,2213313482,5.84
11/7/2015,2489478883,5.84
11/8/2015,2329012334,5.91
11/9/2015,1486602321,5.89
11/10/2015,2080039915,5.92
11/11/2015,1932963353,5.93
11/12/2015,930203263,5.99
11/13/2015,2351282193,5.99
11/14/2015,2189759656,6
11/15/2015,2106291007,5.94
11/16/2015,2362697036,5.99
11/17/2015,2114805489,6.02
11/18/2015,1296593568,5.95
11/19/2015,1881292303,6
11/20/2015,1906042458,6.02
11/21/2015,2466027905,5.91
11/22/2015,2901119807,6.02
11/23/2015,1639194863,6.07
11/24/2015,2885768471,6.11
11/25/2015,2026561214,5.99
11/26/2015,2121718515,5.96
11/27/2015,1159225201,6.17
11/28/2015,2040227119,6.07
11/29/2015,2623588970,6
11/30/2015,1605319789,6.06
12/1/2015,935718465,5.96
12/2/2015,1822246823,6
12/3/2015,881931585,6.05
12/4/2015,1558320307,5.92
12/5/2015,2325658493,5.95
12/6/2015,3912558122,6
12/7/2015,1765729512,5.99
12/8/2015,1493948456,6.04
12/9/2015,1994818611,6.06
12/10/2015,1810592860,6.02
12/11/2015,1888993627,5.98
12/12/2015,2651743774,6
12/13/2015,2307532804,5.9
12/14/2015,2445322235,6
12/15/2015,1826055312,6.01
12/16/2015,2466029387,5.94
12/17/2015,2456469043,5.93
12/18/2015,1917342958,6.01
12/19/2015,2008550893,5.99
12/20/2015,2537052994,6
12/21/2015,2580752899,6.05
12/22/2015,2282634292,6.11
12/23/2015,2034369799,6.12
12/24/2015,3250485046,6.05
12/25/2015,1856999255,5.93
12/26/2015,2590488404,6.16
12/27/2015,3673984837,6
12/28/2015,2394322662,6.14
12/29/2015,2527691582,6.05
12/30/2015,2197338473,5.93
12/31/2015,2136022232,6
1/1/2016,2197502889,6.1
1/2/2016,2154590838,6.07
1/3/2016,2713304196,6.13
1/4/2016,1475350785,6.04
1/5/2016,1385807260,6.04
1/6/2016,2229305725,6.06
1/7/2016,2465137739,6.08
1/8/2016,1592646304,6.04
1/9/2016,2840800550,6.04
1/10/2016,3071255185,6.1
1/11/2016,2297308960,6.12
1/12/2016,2025664774,6.05
1/13/2016,1736558261,6.09
1/14/2016,1543559718,6.03
1/15/2016,2725366337,6.08
1/16/2016,2558931503,6.11
1/17/2016,3036294709,6.15
1/18/2016,3743774169,5.99
1/19/2016,2087991857,5.95
1/20/2016,2767298408,5.96
1/21/2016,1843012631,6.05
1/22/2016,2628773275,6.1
1/23/2016,2982521962,6.17
1/24/2016,2714375503,6.14
1/25/2016,3491169538,6.1
1/26/2016,2075253024,6.08
1/27/2016,2352389507,6.07
1/28/2016,2071645291,6.09
1/29/2016,3291701501,6.09
1/30/2016,2511376509,6.03
1/31/2016,2856553303,6.05
2/1/2016,2977651449,6.05
2/2/2016,2624283648,5.98
2/3/2016,2273723031,6.07
2/4/2016,1669132261,6.11
2/5/2016,1872630529,6.14
2/6/2016,2373000436,6.03
2/7/2016,3134171996,6.07
2/8/2016,2869603868,6.02
2/9/2016,1770505895,6.1
2/10/2016,1311726170,5.98
2/11/2016,1811265486,5.91
2/12/2016,2434071660,5.75
2/13/2016,3154832975,5.91
2/14/2016,2321730593,5.95
2/15/2016,2429164748,5.95
2/16/2016,2213002276,5.9
2/17/2016,2164235332,5.78
2/18/2016,2419816766,5.89
2/19/2016,1755706911,5.89
2/20/2016,3629116978,5.86
2/21/2016,2327685460,5.9
2/22/2016,2457073631,5.81
2/23/2016,2357498452,5.89
2/24/2016,2968901490,5.9
2/25/2016,2074153194,5.89
2/26/2016,1267709403,5.9
2/27/2016,2512261460,5.96
2/28/2016,2666897371,5.74
2/29/2016,1507559564,5.87
3/1/2016,2670660913,5.81
3/2/2016,1325090124,5.99
3/3/2016,1811760297,5.92
3/4/2016,1258147530,5.95
3/5/2016,2495145891,5.92
3/6/2016,1953436588,6.02
3/7/2016,1285946862,5.93
3/8/2016,1922802157,5.86
3/9/2016,1967662195,5.92
3/10/2016,1517911235,5.95
3/11/2016,2646295108,5.73
3/12/2016,1834213762,5.91
3/13/2016,1894276601,5.93
3/14/2016,1849610927,5.96
3/15/2016,2390860809,6.08
3/16/2016,2299959540,5.86
3/17/2016,1586724615,5.86
3/18/2016,1915660752,5.94
3/19/2016,1926000467,5.95
3/20/2016,2492347726,6.02
3/21/2016,2129923498,5.86
3/22/2016,2915107003,5.85
3/23/2016,1588798014,5.91
3/24/2016,2644811159,5.81
3/25/2016,2855427262,6.01
3/26/2016,2266714634,6.09
3/27/2016,3039248014,5.99
3/28/2016,2767608143,6.13
3/29/2016,2291225684,6.09
3/30/2016,1444760178,5.98
3/31/2016,1855834990,6.15
4/1/2016,2726319635,6.19
4/2/2016,2308520965,6.16
4/3/2016,3331427015,6.16
4/4/2016,2017779602,6.21
4/5/2016,2456597841,6.06
4/6/2016,2146285249,6.17
4/7/2016,2827702187,6.39
4/8/2016,1819388932,6.15
4/9/2016,2158777281,6.18
4/10/2016,4119883310,6.17
4/11/2016,1364562521,6.13
4/12/2016,2046480527,5.99
4/13/2016,1323876926,6.06
4/14/2016,1085831709,6.03
4/15/2016,1772509176,5.99
4/16/2016,3101550031,6
4/17/2016,2274212545,6.01
4/18/2016,3617117524,5.87
4/19/2016,2865799109,5.96
4/20/2016,1879584686,5.96
4/21/2016,2459294696,6
4/22/2016,2189956072,5.98
4/23/2016,2031274520,6.02
4/24/2016,2301252714,6.06
4/25/2016,2370499248,6.07
4/26/2016,3813197116,6
4/27/2016,1820877304,6
4/28/2016,2436495082,5.95
4/29/2016,3128160766,6.05
4/30/2016,2452911784,6
5/1/2016,3249068045,6.01
5/2/2016,3286240029,6.1
5/3/2016,2275592465,6.04
5/4/2016,3584488639,5.86
5/5/2016,3384624539,5.95
5/6/2016,2797664389,6
5/7/2016,3342687242,5.95
5/8/2016,2892385216,5.98
5/9/2016,3109010315,5.95
5/10/2016,2167281938,5.9
5/11/2016,2544623886,5.86
5/12/2016,2132518582,5.94
5/13/2016,2665441688,5.86
5/14/2016,1918933699,5.81
5/15/2016,3223721142,5.88
5/16/2016,3477308834,5.76
5/17/2016,2572857347,5.85
5/18/2016,2157263259,5.84
5/19/2016,2676463807,5.72
5/20/2016,2362504465,5.7
5/21/2016,2491104157,5.6
5/22/2016,3321825532,5.5
5/23/2016,2159486444,5.7
5/24/2016,1858305349,5.95
5/25/2016,1573970453,5.81
5/26/2016,2130991318,5.92
5/27/2016,2840208658,5.6
5/28/2016,2903953483,5.79
5/29/2016,1780233906,5.96
5/30/2016,2435402983,5.58
5/31/2016,1718996464,5.56
6/1/2016,1435770175,5.77
6/2/2016,1268242056,5.68
6/3/2016,2201151587,5.86
6/4/2016,2265642727,5.55
6/5/2016,2237675667,5.6
6/6/2016,1767243860,5.66
6/7/2016,1911855574,5.54
6/8/2016,1817727210,5.43
6/9/2016,1664891763,5.43
6/10/2016,3642287293,5.6
6/11/2016,3154536625,5.43
6/12/2016,2247142517,5.53
6/13/2016,3453198964,5.48
6/14/2016,2199413046,5.5
6/15/2016,1105473910,5.71
6/16/2016,3017209328,5.65
6/17/2016,1494246251,5.51
6/18/2016,2605293503,5.45
6/19/2016,1857882951,5.35
6/20/2016,1771195392,5.28
6/21/2016,2133249719,5.25
6/22/2016,1038747576,5.38
6/23/2016,1583995579,5.79
6/24/2016,2279062725,5.35
6/25/2016,2461075454,5.48
6/26/2016,2276373219,5.3
6/27/2016,1933080663,5.22
6/28/2016,2024669527,5.24
6/29/2016,2253270033,5.21
6/30/2016,1697604461,5.25
7/1/2016,1515082063,5.29
7/2/2016,2872733739,5.41
7/3/2016,1614716986,5.42
7/4/2016,1654296827,5.26
7/5/2016,1850922924,5.5
7/6/2016,1967902957,5.34
7/7/2016,1467026308,5.25
7/8/2016,1482581030,5.57
7/9/2016,1679651185,5.56
7/10/2016,3269529614,5.24
7/11/2016,3355068004,5.05
7/12/2016,1167575112,5.22
7/13/2016,1472011502,5.25
7/14/2016,1700098444,5.38
7/15/2016,2239268056,5.41
7/16/2016,2790009140,5.48
7/17/2016,1579998545,5.49
7/18/2016,1271634526,5.4
7/19/2016,1306611829,5.34
7/20/2016,1534426948,5.49
7/21/2016,931158104,5.58
7/22/2016,1258476500,5.25
7/23/2016,1862195508,5.2
7/24/2016,1244252755,5.42
7/25/2016,1135136736,5.59
7/26/2016,1444747947,5.17
7/27/2016,1455725231,5.35
